claim_id,product_category,product_name,claim_text,greenwashing_type,vagueness_score,evidence_present,certification_present,credibility_score,consumer_risk_score,environmental_confidence,greenwashing_risk,why_flagged,eco_alternatives,waste_type,waste_guidance,educational_note,qr_code_id
271,Clothing,Clothing Product 271,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Prefer GOTS-certified organic cotton or recycled fabric brands,Textile,"Donate, reuse, or recycle through textile programs",Greenwashing often relies on vague environmental claims,ECO-1271
272,Food Packaging,Food Packaging Product 272,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,Use certified biodegradable or compostable packaging,Biodegradable,Dispose in compostable waste where facilities exist,Greenwashing often relies on vague environmental claims,ECO-1272
273,Electronics,Electronics Product 273,This product is eco-friendly,No Proof,0.4,1,0,52,48,42,Medium,Claim lacks sufficient measurable evidence,Select Energy Star–certified and repairable devices,Electronic,Send to authorized e-waste recycling centers,Greenwashing often relies on vague environmental claims,ECO-1273
274,Home Cleaning,Home Cleaning Product 274,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,"Use eco-certified, low-toxicity cleaning products",Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1274
275,Personal Care,Personal Care Product 275,Made with 30% recycled materials and FSC certified,No Proof,0.9,0,1,42,58,52,Medium,Claim lacks sufficient measurable evidence,Choose products with transparent ingredient disclosure,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1275
276,Beverages,Beverages Product 276,This product is eco-friendly,No Proof,0.1,1,0,58,42,48,Medium,Claim lacks sufficient measurable evidence,Prefer reusable glass or aluminum containers,Glass / Aluminum,Recycle through municipal recycling systems,Greenwashing often relies on vague environmental claims,ECO-1276
277,Baby Products,Baby Products Product 277,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Select products certified for safety and sustainability,Mixed,Segregate components before disposal,Greenwashing often relies on vague environmental claims,ECO-1277
278,Stationery,Stationery Product 278,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,Use recycled paper or refillable stationery,Paper,Recycle or compost if untreated,Greenwashing often relies on vague environmental claims,ECO-1278
279,Furniture,Furniture Product 279,This product is eco-friendly and green and sustainable,No Proof,0.9,1,0,42,58,32,Medium,Claim lacks sufficient measurable evidence,Prefer FSC-certified wood and low-VOC finishes,Wood / Mixed,Reuse or dispose according to local regulations,Greenwashing often relies on vague environmental claims,ECO-1279
280,Cosmetics,Cosmetics Product 280,Made with 30% recycled materials and FSC certified,No Proof,0.1,0,1,58,42,68,Medium,Claim lacks sufficient measurable evidence,Choose products with FSC-certified packaging and cruelty-free labels,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1280
281,Clothing,Clothing Product 281,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Prefer GOTS-certified organic cotton or recycled fabric brands,Textile,"Donate, reuse, or recycle through textile programs",Greenwashing often relies on vague environmental claims,ECO-1281
282,Food Packaging,Food Packaging Product 282,This product is eco-friendly and green,No Proof,0.7,1,0,46,54,36,Medium,Claim lacks sufficient measurable evidence,Use certified biodegradable or compostable packaging,Biodegradable,Dispose in compostable waste where facilities exist,Greenwashing often relies on vague environmental claims,ECO-1282
283,Electronics,Electronics Product 283,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Select Energy Star–certified and repairable devices,Electronic,Send to authorized e-waste recycling centers,Greenwashing often relies on vague environmental claims,ECO-1283
284,Home Cleaning,Home Cleaning Product 284,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,"Use eco-certified, low-toxicity cleaning products",Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1284
285,Personal Care,Personal Care Product 285,Made with 30% recycled materials and FSC certified,None,0.4,1,1,92,8,92,Low,Claim is supported by measurable evidence or certification,Choose products with transparent ingredient disclosure,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1285
286,Beverages,Beverages Product 286,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,Prefer reusable glass or aluminum containers,Glass / Aluminum,Recycle through municipal recycling systems,Greenwashing often relies on vague environmental claims,ECO-1286
287,Baby Products,Baby Products Product 287,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Select products certified for safety and sustainability,Mixed,Segregate components before disposal,Greenwashing often relies on vague environmental claims,ECO-1287
288,Stationery,Stationery Product 288,This product is eco-friendly,No Proof,0.1,1,0,58,42,48,Medium,Claim lacks sufficient measurable evidence,Use recycled paper or refillable stationery,Paper,Recycle or compost if untreated,Greenwashing often relies on vague environmental claims,ECO-1288
289,Furniture,Furniture Product 289,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Prefer FSC-certified wood and low-VOC finishes,Wood / Mixed,Reuse or dispose according to local regulations,Greenwashing often relies on vague environmental claims,ECO-1289
290,Cosmetics,Cosmetics Product 290,Made with 30% recycled materials and FSC certified,No Proof,0.7,0,1,46,54,56,Medium,Claim lacks sufficient measurable evidence,Choose products with FSC-certified packaging and cruelty-free labels,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1290
291,Clothing,Clothing Product 291,This product is eco-friendly and green and sustainable,No Proof,0.9,1,0,42,58,32,Medium,Claim lacks sufficient measurable evidence,Prefer GOTS-certified organic cotton or recycled fabric brands,Textile,"Donate, reuse, or recycle through textile programs",Greenwashing often relies on vague environmental claims,ECO-1291
292,Food Packaging,Food Packaging Product 292,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,Use certified biodegradable or compostable packaging,Biodegradable,Dispose in compostable waste where facilities exist,Greenwashing often relies on vague environmental claims,ECO-1292
293,Electronics,Electronics Product 293,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Select Energy Star–certified and repairable devices,Electronic,Send to authorized e-waste recycling centers,Greenwashing often relies on vague environmental claims,ECO-1293
294,Home Cleaning,Home Cleaning Product 294,This product is eco-friendly and green,No Proof,0.7,1,0,46,54,36,Medium,Claim lacks sufficient measurable evidence,"Use eco-certified, low-toxicity cleaning products",Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1294
295,Personal Care,Personal Care Product 295,Made with 30% recycled materials and FSC certified,No Proof,0.9,0,1,42,58,52,Medium,Claim lacks sufficient measurable evidence,Choose products with transparent ingredient disclosure,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1295
296,Beverages,Beverages Product 296,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,Prefer reusable glass or aluminum containers,Glass / Aluminum,Recycle through municipal recycling systems,Greenwashing often relies on vague environmental claims,ECO-1296
297,Baby Products,Baby Products Product 297,This product is eco-friendly,No Proof,0.4,1,0,52,48,42,Medium,Claim lacks sufficient measurable evidence,Select products certified for safety and sustainability,Mixed,Segregate components before disposal,Greenwashing often relies on vague environmental claims,ECO-1297
298,Stationery,Stationery Product 298,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,Use recycled paper or refillable stationery,Paper,Recycle or compost if untreated,Greenwashing often relies on vague environmental claims,ECO-1298
299,Furniture,Furniture Product 299,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Prefer FSC-certified wood and low-VOC finishes,Wood / Mixed,Reuse or dispose according to local regulations,Greenwashing often relies on vague environmental claims,ECO-1299
300,Cosmetics,Cosmetics Product 300,Made with 30% recycled materials and FSC certified,None,0.1,1,1,98,2,98,Low,Claim is supported by measurable evidence or certification,Choose products with FSC-certified packaging and cruelty-free labels,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1300
301,Clothing,Clothing Product 301,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Prefer GOTS-certified organic cotton or recycled fabric brands,Textile,"Donate, reuse, or recycle through textile programs",Greenwashing often relies on vague environmental claims,ECO-1301
302,Food Packaging,Food Packaging Product 302,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,Use certified biodegradable or compostable packaging,Biodegradable,Dispose in compostable waste where facilities exist,Greenwashing often relies on vague environmental claims,ECO-1302
303,Electronics,Electronics Product 303,This product is eco-friendly and green and sustainable,No Proof,0.9,1,0,42,58,32,Medium,Claim lacks sufficient measurable evidence,Select Energy Star–certified and repairable devices,Electronic,Send to authorized e-waste recycling centers,Greenwashing often relies on vague environmental claims,ECO-1303
304,Home Cleaning,Home Cleaning Product 304,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,"Use eco-certified, low-toxicity cleaning products",Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1304
305,Personal Care,Personal Care Product 305,Made with 30% recycled materials and FSC certified,No Proof,0.4,0,1,52,48,62,Medium,Claim lacks sufficient measurable evidence,Choose products with transparent ingredient disclosure,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1305
306,Beverages,Beverages Product 306,This product is eco-friendly and green,No Proof,0.7,1,0,46,54,36,Medium,Claim lacks sufficient measurable evidence,Prefer reusable glass or aluminum containers,Glass / Aluminum,Recycle through municipal recycling systems,Greenwashing often relies on vague environmental claims,ECO-1306
307,Baby Products,Baby Products Product 307,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Select products certified for safety and sustainability,Mixed,Segregate components before disposal,Greenwashing often relies on vague environmental claims,ECO-1307
308,Stationery,Stationery Product 308,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,Use recycled paper or refillable stationery,Paper,Recycle or compost if untreated,Greenwashing often relies on vague environmental claims,ECO-1308
309,Furniture,Furniture Product 309,This product is eco-friendly,No Proof,0.4,1,0,52,48,42,Medium,Claim lacks sufficient measurable evidence,Prefer FSC-certified wood and low-VOC finishes,Wood / Mixed,Reuse or dispose according to local regulations,Greenwashing often relies on vague environmental claims,ECO-1309
310,Cosmetics,Cosmetics Product 310,Made with 30% recycled materials and FSC certified,No Proof,0.7,0,1,46,54,56,Medium,Claim lacks sufficient measurable evidence,Choose products with FSC-certified packaging and cruelty-free labels,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1310
311,Clothing,Clothing Product 311,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Prefer GOTS-certified organic cotton or recycled fabric brands,Textile,"Donate, reuse, or recycle through textile programs",Greenwashing often relies on vague environmental claims,ECO-1311
312,Food Packaging,Food Packaging Product 312,This product is eco-friendly,No Proof,0.1,1,0,58,42,48,Medium,Claim lacks sufficient measurable evidence,Use certified biodegradable or compostable packaging,Biodegradable,Dispose in compostable waste where facilities exist,Greenwashing often relies on vague environmental claims,ECO-1312
313,Electronics,Electronics Product 313,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Select Energy Star–certified and repairable devices,Electronic,Send to authorized e-waste recycling centers,Greenwashing often relies on vague environmental claims,ECO-1313
314,Home Cleaning,Home Cleaning Product 314,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,"Use eco-certified, low-toxicity cleaning products",Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1314
315,Personal Care,Personal Care Product 315,Made with 30% recycled materials and FSC certified,None,0.9,1,1,82,18,82,Low,Claim is supported by measurable evidence or certification,Choose products with transparent ingredient disclosure,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1315
316,Beverages,Beverages Product 316,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,Prefer reusable glass or aluminum containers,Glass / Aluminum,Recycle through municipal recycling systems,Greenwashing often relies on vague environmental claims,ECO-1316
317,Baby Products,Baby Products Product 317,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Select products certified for safety and sustainability,Mixed,Segregate components before disposal,Greenwashing often relies on vague environmental claims,ECO-1317
318,Stationery,Stationery Product 318,This product is eco-friendly and green,No Proof,0.7,1,0,46,54,36,Medium,Claim lacks sufficient measurable evidence,Use recycled paper or refillable stationery,Paper,Recycle or compost if untreated,Greenwashing often relies on vague environmental claims,ECO-1318
319,Furniture,Furniture Product 319,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Prefer FSC-certified wood and low-VOC finishes,Wood / Mixed,Reuse or dispose according to local regulations,Greenwashing often relies on vague environmental claims,ECO-1319
320,Cosmetics,Cosmetics Product 320,Made with 30% recycled materials and FSC certified,No Proof,0.1,0,1,58,42,68,Medium,Claim lacks sufficient measurable evidence,Choose products with FSC-certified packaging and cruelty-free labels,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1320
321,Clothing,Clothing Product 321,This product is eco-friendly,No Proof,0.4,1,0,52,48,42,Medium,Claim lacks sufficient measurable evidence,Prefer GOTS-certified organic cotton or recycled fabric brands,Textile,"Donate, reuse, or recycle through textile programs",Greenwashing often relies on vague environmental claims,ECO-1321
322,Food Packaging,Food Packaging Product 322,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,Use certified biodegradable or compostable packaging,Biodegradable,Dispose in compostable waste where facilities exist,Greenwashing often relies on vague environmental claims,ECO-1322
323,Electronics,Electronics Product 323,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Select Energy Star–certified and repairable devices,Electronic,Send to authorized e-waste recycling centers,Greenwashing often relies on vague environmental claims,ECO-1323
324,Home Cleaning,Home Cleaning Product 324,This product is eco-friendly,No Proof,0.1,1,0,58,42,48,Medium,Claim lacks sufficient measurable evidence,"Use eco-certified, low-toxicity cleaning products",Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1324
325,Personal Care,Personal Care Product 325,Made with 30% recycled materials and FSC certified,No Proof,0.4,0,1,52,48,62,Medium,Claim lacks sufficient measurable evidence,Choose products with transparent ingredient disclosure,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1325
326,Beverages,Beverages Product 326,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,Prefer reusable glass or aluminum containers,Glass / Aluminum,Recycle through municipal recycling systems,Greenwashing often relies on vague environmental claims,ECO-1326
327,Baby Products,Baby Products Product 327,This product is eco-friendly and green and sustainable,No Proof,0.9,1,0,42,58,32,Medium,Claim lacks sufficient measurable evidence,Select products certified for safety and sustainability,Mixed,Segregate components before disposal,Greenwashing often relies on vague environmental claims,ECO-1327
328,Stationery,Stationery Product 328,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,Use recycled paper or refillable stationery,Paper,Recycle or compost if untreated,Greenwashing often relies on vague environmental claims,ECO-1328
329,Furniture,Furniture Product 329,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Prefer FSC-certified wood and low-VOC finishes,Wood / Mixed,Reuse or dispose according to local regulations,Greenwashing often relies on vague environmental claims,ECO-1329
330,Cosmetics,Cosmetics Product 330,Made with 30% recycled materials and FSC certified,None,0.7,1,1,86,14,86,Low,Claim is supported by measurable evidence or certification,Choose products with FSC-certified packaging and cruelty-free labels,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1330
331,Clothing,Clothing Product 331,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Prefer GOTS-certified organic cotton or recycled fabric brands,Textile,"Donate, reuse, or recycle through textile programs",Greenwashing often relies on vague environmental claims,ECO-1331
332,Food Packaging,Food Packaging Product 332,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,Use certified biodegradable or compostable packaging,Biodegradable,Dispose in compostable waste where facilities exist,Greenwashing often relies on vague environmental claims,ECO-1332
333,Electronics,Electronics Product 333,This product is eco-friendly,No Proof,0.4,1,0,52,48,42,Medium,Claim lacks sufficient measurable evidence,Select Energy Star–certified and repairable devices,Electronic,Send to authorized e-waste recycling centers,Greenwashing often relies on vague environmental claims,ECO-1333
334,Home Cleaning,Home Cleaning Product 334,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,"Use eco-certified, low-toxicity cleaning products",Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1334
335,Personal Care,Personal Care Product 335,Made with 30% recycled materials and FSC certified,No Proof,0.9,0,1,42,58,52,Medium,Claim lacks sufficient measurable evidence,Choose products with transparent ingredient disclosure,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1335
336,Beverages,Beverages Product 336,This product is eco-friendly,No Proof,0.1,1,0,58,42,48,Medium,Claim lacks sufficient measurable evidence,Prefer reusable glass or aluminum containers,Glass / Aluminum,Recycle through municipal recycling systems,Greenwashing often relies on vague environmental claims,ECO-1336
337,Baby Products,Baby Products Product 337,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Select products certified for safety and sustainability,Mixed,Segregate components before disposal,Greenwashing often relies on vague environmental claims,ECO-1337
338,Stationery,Stationery Product 338,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,Use recycled paper or refillable stationery,Paper,Recycle or compost if untreated,Greenwashing often relies on vague environmental claims,ECO-1338
339,Furniture,Furniture Product 339,This product is eco-friendly and green and sustainable,No Proof,0.9,1,0,42,58,32,Medium,Claim lacks sufficient measurable evidence,Prefer FSC-certified wood and low-VOC finishes,Wood / Mixed,Reuse or dispose according to local regulations,Greenwashing often relies on vague environmental claims,ECO-1339
340,Cosmetics,Cosmetics Product 340,Made with 30% recycled materials and FSC certified,No Proof,0.1,0,1,58,42,68,Medium,Claim lacks sufficient measurable evidence,Choose products with FSC-certified packaging and cruelty-free labels,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1340
341,Clothing,Clothing Product 341,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Prefer GOTS-certified organic cotton or recycled fabric brands,Textile,"Donate, reuse, or recycle through textile programs",Greenwashing often relies on vague environmental claims,ECO-1341
342,Food Packaging,Food Packaging Product 342,This product is eco-friendly and green,No Proof,0.7,1,0,46,54,36,Medium,Claim lacks sufficient measurable evidence,Use certified biodegradable or compostable packaging,Biodegradable,Dispose in compostable waste where facilities exist,Greenwashing often relies on vague environmental claims,ECO-1342
343,Electronics,Electronics Product 343,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Select Energy Star–certified and repairable devices,Electronic,Send to authorized e-waste recycling centers,Greenwashing often relies on vague environmental claims,ECO-1343
344,Home Cleaning,Home Cleaning Product 344,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,"Use eco-certified, low-toxicity cleaning products",Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1344
345,Personal Care,Personal Care Product 345,Made with 30% recycled materials and FSC certified,None,0.4,1,1,92,8,92,Low,Claim is supported by measurable evidence or certification,Choose products with transparent ingredient disclosure,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1345
346,Beverages,Beverages Product 346,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,Prefer reusable glass or aluminum containers,Glass / Aluminum,Recycle through municipal recycling systems,Greenwashing often relies on vague environmental claims,ECO-1346
347,Baby Products,Baby Products Product 347,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Select products certified for safety and sustainability,Mixed,Segregate components before disposal,Greenwashing often relies on vague environmental claims,ECO-1347
348,Stationery,Stationery Product 348,This product is eco-friendly,No Proof,0.1,1,0,58,42,48,Medium,Claim lacks sufficient measurable evidence,Use recycled paper or refillable stationery,Paper,Recycle or compost if untreated,Greenwashing often relies on vague environmental claims,ECO-1348
349,Furniture,Furniture Product 349,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Prefer FSC-certified wood and low-VOC finishes,Wood / Mixed,Reuse or dispose according to local regulations,Greenwashing often relies on vague environmental claims,ECO-1349
350,Cosmetics,Cosmetics Product 350,Made with 30% recycled materials and FSC certified,No Proof,0.7,0,1,46,54,56,Medium,Claim lacks sufficient measurable evidence,Choose products with FSC-certified packaging and cruelty-free labels,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1350
351,Clothing,Clothing Product 351,This product is eco-friendly and green and sustainable,No Proof,0.9,1,0,42,58,32,Medium,Claim lacks sufficient measurable evidence,Prefer GOTS-certified organic cotton or recycled fabric brands,Textile,"Donate, reuse, or recycle through textile programs",Greenwashing often relies on vague environmental claims,ECO-1351
352,Food Packaging,Food Packaging Product 352,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,Use certified biodegradable or compostable packaging,Biodegradable,Dispose in compostable waste where facilities exist,Greenwashing often relies on vague environmental claims,ECO-1352
353,Electronics,Electronics Product 353,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Select Energy Star–certified and repairable devices,Electronic,Send to authorized e-waste recycling centers,Greenwashing often relies on vague environmental claims,ECO-1353
354,Home Cleaning,Home Cleaning Product 354,This product is eco-friendly and green,No Proof,0.7,1,0,46,54,36,Medium,Claim lacks sufficient measurable evidence,"Use eco-certified, low-toxicity cleaning products",Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1354
355,Personal Care,Personal Care Product 355,Made with 30% recycled materials and FSC certified,No Proof,0.9,0,1,42,58,52,Medium,Claim lacks sufficient measurable evidence,Choose products with transparent ingredient disclosure,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1355
356,Beverages,Beverages Product 356,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,Prefer reusable glass or aluminum containers,Glass / Aluminum,Recycle through municipal recycling systems,Greenwashing often relies on vague environmental claims,ECO-1356
357,Baby Products,Baby Products Product 357,This product is eco-friendly,No Proof,0.4,1,0,52,48,42,Medium,Claim lacks sufficient measurable evidence,Select products certified for safety and sustainability,Mixed,Segregate components before disposal,Greenwashing often relies on vague environmental claims,ECO-1357
358,Stationery,Stationery Product 358,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,Use recycled paper or refillable stationery,Paper,Recycle or compost if untreated,Greenwashing often relies on vague environmental claims,ECO-1358
359,Furniture,Furniture Product 359,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Prefer FSC-certified wood and low-VOC finishes,Wood / Mixed,Reuse or dispose according to local regulations,Greenwashing often relies on vague environmental claims,ECO-1359
360,Cosmetics,Cosmetics Product 360,Made with 30% recycled materials and FSC certified,None,0.1,1,1,98,2,98,Low,Claim is supported by measurable evidence or certification,Choose products with FSC-certified packaging and cruelty-free labels,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1360
361,Clothing,Clothing Product 361,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Prefer GOTS-certified organic cotton or recycled fabric brands,Textile,"Donate, reuse, or recycle through textile programs",Greenwashing often relies on vague environmental claims,ECO-1361
362,Food Packaging,Food Packaging Product 362,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,Use certified biodegradable or compostable packaging,Biodegradable,Dispose in compostable waste where facilities exist,Greenwashing often relies on vague environmental claims,ECO-1362
363,Electronics,Electronics Product 363,This product is eco-friendly and green and sustainable,No Proof,0.9,1,0,42,58,32,Medium,Claim lacks sufficient measurable evidence,Select Energy Star–certified and repairable devices,Electronic,Send to authorized e-waste recycling centers,Greenwashing often relies on vague environmental claims,ECO-1363
364,Home Cleaning,Home Cleaning Product 364,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,"Use eco-certified, low-toxicity cleaning products",Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1364
365,Personal Care,Personal Care Product 365,Made with 30% recycled materials and FSC certified,No Proof,0.4,0,1,52,48,62,Medium,Claim lacks sufficient measurable evidence,Choose products with transparent ingredient disclosure,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1365
366,Beverages,Beverages Product 366,This product is eco-friendly and green,No Proof,0.7,1,0,46,54,36,Medium,Claim lacks sufficient measurable evidence,Prefer reusable glass or aluminum containers,Glass / Aluminum,Recycle through municipal recycling systems,Greenwashing often relies on vague environmental claims,ECO-1366
367,Baby Products,Baby Products Product 367,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Select products certified for safety and sustainability,Mixed,Segregate components before disposal,Greenwashing often relies on vague environmental claims,ECO-1367
368,Stationery,Stationery Product 368,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,Use recycled paper or refillable stationery,Paper,Recycle or compost if untreated,Greenwashing often relies on vague environmental claims,ECO-1368
369,Furniture,Furniture Product 369,This product is eco-friendly,No Proof,0.4,1,0,52,48,42,Medium,Claim lacks sufficient measurable evidence,Prefer FSC-certified wood and low-VOC finishes,Wood / Mixed,Reuse or dispose according to local regulations,Greenwashing often relies on vague environmental claims,ECO-1369
370,Cosmetics,Cosmetics Product 370,Made with 30% recycled materials and FSC certified,No Proof,0.7,0,1,46,54,56,Medium,Claim lacks sufficient measurable evidence,Choose products with FSC-certified packaging and cruelty-free labels,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1370
371,Clothing,Clothing Product 371,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Prefer GOTS-certified organic cotton or recycled fabric brands,Textile,"Donate, reuse, or recycle through textile programs",Greenwashing often relies on vague environmental claims,ECO-1371
372,Food Packaging,Food Packaging Product 372,This product is eco-friendly,No Proof,0.1,1,0,58,42,48,Medium,Claim lacks sufficient measurable evidence,Use certified biodegradable or compostable packaging,Biodegradable,Dispose in compostable waste where facilities exist,Greenwashing often relies on vague environmental claims,ECO-1372
